;ABEV3 BS Equity;ALOS3 BS Equity;ANIM3 BS Equity;ASAI3 BS Equity;AURE3 BS Equity;AZZA3 BS Equity;B3SA3 BS Equity;BBAS3 BS Equity;BBDC3 BS Equity;BBDC4 BS Equity;BBSE3 BS Equity;BEEF3 BS Equity;BPAC11 BS Equity;BRAP4 BS Equity;BRAV3 BS Equity;BRKM5 BS Equity;CEAB3 BS Equity;CMIG4 BS Equity;CMIN3 BS Equity;COGN3 BS Equity;CPFE3 BS Equity;CPLE3 BS Equity;CPLE6 BS Equity;CSAN3 BS Equity;CSMG3 BS Equity;CSNA3 BS Equity;CURY3 BS Equity;CVCB3 BS Equity;CXSE3 BS Equity;CYRE3 BS Equity;DIRR3 BS Equity;ECOR3 BS Equity;EGIE3 BS Equity;ELET3 BS Equity;ELET6 BS Equity;EMBJ3 BS Equity;ENEV3 BS Equity;ENGI11 BS Equity;EQTL3 BS Equity;EZTC3 BS Equity;FLRY3 BS Equity;GGBR4 BS Equity;GGPS3 BS Equity;GMAT3 BS Equity;GOAU4 BS Equity;HAPV3 BS Equity;HYPE3 BS Equity;IGTI11 BS Equity;INTB3 BS Equity;IRBR3 BS Equity;ISAE4 BS Equity;ITSA4 BS Equity;ITUB4 BS Equity;KLBN11 BS Equity;LREN3 BS Equity;LWSA3 BS Equity;MBRF3 BS Equity;MGLU3 BS Equity;MOTV3 BS Equity;MOVI3 BS Equity;MRVE3 BS Equity;MULT3 BS Equity;NATU3 BS Equity;PCAR3 BS Equity;PETR3 BS Equity;PETR4 BS Equity;PETZ3 BS Equity;POMO4 BS Equity;PRIO3 BS Equity;PSSA3 BS Equity;RADL3 BS Equity;RAIL3 BS Equity;RAIZ4 BS Equity;RAPT4 BS Equity;RDOR3 BS Equity;RECV3 BS Equity;RENT3 BS Equity;SANB11 BS Equity;SAPR11 BS Equity;SBSP3 BS Equity;SLCE3 BS Equity;SMFT3 BS Equity;SMTO3 BS Equity;SRNA3 BS Equity;SUZB3 BS Equity;TAEE11 BS Equity;TEND3 BS Equity;TIMS3 BS Equity;TOTS3 BS Equity;UGPA3 BS Equity;USIM5 BS Equity;VALE3 BS Equity;VAMO3 BS Equity;VBBR3 BS Equity;VIVA3 BS Equity;VIVT3 BS Equity;WEGE3 BS Equity;YDUQ3 BS Equity
DATES;return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q);return_on_asset(as_of_date=range(2005-01-01,2025-11-04),fa_period_type=Q)
01/01/2005;4,934120663;#N/D;#N/D;#N/D;-1,946599251;#N/D;#N/D;1,282619513;1,579655483;1,579655483;#N/D;#N/D;#N/D;#N/D;#N/D;0,057436458;#N/D;7,934902944;#N/D;#N/D;#N/D;2,231367491;2,231367491;#N/D;7,997634969;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;7,537684284;10,90498234;#N/D;#N/D;7,606137382;#N/D;-1,332945886;#N/D;#N/D;#N/D;16,83138939;#N/D;#N/D;7,876442868;#N/D;#N/D;0,046655558;#N/D;#N/D;#N/D;1,374804573;2,795512004;10,89557455;#N/D;#N/D;#N/D;#N/D;8,94106676;#N/D;#N/D;#N/D;#N/D;3,616324449;11,97373968;11,97373968;#N/D;7,728418951;#N/D;#N/D;3,767673114;6,404288899;#N/D;15,65061977;#N/D;#N/D;#N/D;#N/D;6,379609566;3,47489566;#N/D;#N/D;#N/D;#N/D;11,10997342;#N/D;#N/D;#N/D;#N/D;15,17242821;14,20748;#N/D;#N/D;14,98097014;#N/D;#N/D;18,78909179;#N/D
02/01/2005;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
03/01/2005;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
04/01/2005;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
05/01/2005;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
06/01/2005;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
07/01/2005;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
08/01/2005;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
09/01/2005;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
